location_identifier,location_target_encoded
New Garden Town - Faisalabad,8000000.0
Rehmania Town - Faisalabad,15000000.0
Wah Link Road - Rawalpindi,5566666.666666667
Dhoke Gangal - Rawalpindi,6450000.0
IJP Road - Islamabad,10425000.0
Dhok Gujran - Rawalpindi,6366666.666666667
Gulshan-e-Saeed - Rawalpindi,7125000.0
Al-Falah Cooperative Housing Society - Lahore,8550000.0
Makkah Colony - Lahore,8600000.0
Pak Park - Lahore,4628571.428571428
Wahdat Road - Lahore,8690909.090909092
Punjab University Employees Society - Lahore,12597560.975609755
Surti Muslim Co-Operative Housing Society - Karachi,32250000.0
ASF Housing Scheme - Karachi,4664000.0
Muslimabad Society - Karachi,20666666.666666668
Iqbal Town - Islamabad,8500000.0
Madina Town - Islamabad,5870000.0
Wapda Town - Islamabad,6900000.0
Chenab Gardens - Faisalabad,17000000.0
Sir Syed Town - Faisalabad,9100000.0
